advertised_date,number_of_bedrooms,rent,floor_area,level,suburb,furnished,tenancy_preference,number_of_bathrooms,point_of_contact,secondary_address,building_number,street_name,street_suffix,prefix,first_name,last_name,gender,phone_number,email
2022-05-18,2,568.0,1100,Ground out of 2,Canberra,Unfurnished,Bachelors/Family,2,Contact Owner,02/,1,Mcdowell Edge,Driveway,Mr.,Robert,Jones,m,(08) 8174 5701,georgelopez@example.org
2022-05-13,2,581.0,800,1 out of 3,Canberra,Semi-Furnished,Bachelors/Family,1,Contact Owner,667/,6,Lewis Parkway,Viaduct,Mrs.,Lisa,Mcknight,f,(08).5553.7944,robertdorsey@example.net
2022-05-16,2,577.0,1000,1 out of 3,Canberra,Semi-Furnished,Bachelors/Family,1,Contact Owner,859/,459,Daniel Copse,Meander,,Annette,Lester,u,(03).6394.3934,rodriguezkaren@example.net
2022-05-09,2,565.0,850,1 out of 2,Canberra,Unfurnished,Bachelors,1,Contact Owner,Flat 54 ,482,Young Walkway,Firetrail,Mrs.,Emma,Hill,f,+61836311377,johnsonjeremy@example.com
2022-04-29,2,564.0,600,Ground out of 1,Canberra,Unfurnished,Bachelors/Family,2,Contact Owner,Unit 75 ,838,Michael Port,Esplanade,Miss,Ariana,Richardson,f,+61 409 341 340,sbrown@example.net
2022-06-21,2,568.0,700,Ground out of 4,Canberra,Unfurnished,Bachelors,2,Contact Agent,Flat 11 ,02,Carlson Plaza,Quadrangle,Dr.,Robert,Wheeler,m,(07)-4696-5284,xwilliams@example.net
2022-06-21,1,562.0,250,1 out of 2,Canberra,Unfurnished,Bachelors,1,Contact Agent,Level 3 ,656,Moody Square,Artery,Dr.,John,Norman,m,+61-3-9936-2303,chambersalbert@example.net
2022-06-07,2,588.0,800,1 out of 2,Canberra,Unfurnished,Bachelors,2,Contact Agent,Suite 476 ,869,David Block,Gully,,Heather,Powell,u,0419 782 777,jason53@example.com
2022-06-20,2,568.0,1000,1 out of 3,Canberra,Semi-Furnished,Bachelors/Family,2,Contact Owner,86/,001,Harrington Turn,Circle,Dr.,James,Bryant,m,(07)-5541-1916,christensenlisa@example.org
2022-05-23,3,587.0,1200,1 out of 4,Canberra,Semi-Furnished,Bachelors/Family,2,Contact Agent,Flat 52 ,87,Hampton Brae,State Highway,Mr.,Joseph,Bennett,m,0456 056 268,brayannette@example.org
2022-06-07,1,562.0,400,1 out of 1,Canberra,Unfurnished,Bachelors/Family,1,Contact Agent,Apt. 603 ,9,Cabrera Thoroughfare,Circlet,Dr.,David,Lewis,m,+61 7 7504 0117,francisco73@example.org
2022-05-14,1,564.0,250,1 out of 4,Canberra,Furnished,Bachelors,1,Contact Owner,03/,9,Jones Row,Concourse,Dr.,Patrick,Clark,m,0488.421.056,dawsonnathan@example.com
2022-05-09,1,562.0,375,1 out of 2,Canberra,Unfurnished,Bachelors/Family,1,Contact Agent,54/,58,Matthew Street,Path,Mrs.,Mark,Shannon,f,+61 420 120 635,joshua62@example.net
2022-05-05,3,566.0,900,Ground out of 2,Canberra,Unfurnished,Bachelors,2,Contact Owner,57/,551,Taylor River,Roadway,Mr.,Dr.,John,m,+61-8-3749-4225,bashley@example.net
2022-06-01,3,606.0,1286,1 out of 1,Canberra,Furnished,Bachelors/Family,2,Contact Owner,45/,2,Julie Rosebowl,State Highway,Mr.,Michael,Bell,m,(08)22562456,zbennett@example.net
2022-05-17,2,563.0,600,1 out of 2,Canberra,Semi-Furnished,Bachelors/Family,1,Contact Owner,Apt. 591 ,30,Davis Parade,Green,Mrs.,Amy,Mcdowell,f,(07)78867844,bryce59@example.com
2022-06-20,2,568.0,800,Ground out of 2,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,Unit 53 ,8,Cook Plaza,Place,Mrs.,Mrs.,Kathy,f,93741215,jeffery63@example.net
2022-06-09,2,569.0,2000,Ground out of 3,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,9/,779,Ronald Spur,Turn,,Catherine,Berger,u,+61 3 9839 1764,janicesmith@example.net
2022-06-09,2,563.0,660,1 out of 2,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,Unit 63 ,9,Jones Close,Firetrail,Dr.,Mary,Nguyen,f,(08).3662.1398,bergvanessa@example.com
2022-06-14,2,567.0,400,2 out of 3,Canberra,Unfurnished,Bachelors,2,Contact Owner,Level 0 ,67,Graham Brow,Alley,Miss,Alia,Shanker,f,0456-702-828,gsimmons@example.com
2022-06-15,1,560.0,300,Ground out of 4,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,Apt. 503 ,682,Johnson Gap,Ramble,Mr.,Scott,Morrison,m,+61.7.8817.4054,lsimmons@example.com
2022-06-15,3,564.0,1600,Ground out of 2,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,Level 8 ,9,Noble Fairway,Gap,Dr.,Anna,Abbott,f,+61 7 7402 8083,jose26@example.net
2022-05-28,1,565.0,400,1 out of 2,Canberra,Semi-Furnished,Bachelors,1,Contact Agent,Level 9 ,799,Thomas Line,Tollway,Dr.,Thomas,Cook,m,37350076,larsonchristopher@example.net
2022-05-22,2,564.0,1000,1 out of 1,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,Flat 92 ,8,Katherine Retreat,End,Mr.,Anthony,Green,m,0435.433.206,gkoch@example.com
2022-06-18,1,562.0,355,1 out of 1,Canberra,Semi-Furnished,Bachelors/Family,1,Contact Agent,Unit 68 ,0,Brandon Plateau,Parklands,,Jason,Meyers,u,+61739543265,karensmith@example.org
2022-06-25,2,563.0,1000,Ground out of 3,Canberra,Semi-Furnished,Bachelors/Family,1,Contact Owner,Suite 777 ,27,Rogers Approach,Break,Miss,Stephanie,Ray,f,+61-3-3598-9746,shelleyward@example.org
2022-06-22,2,566.0,800,4 out of 5,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,Apt. 355 ,01,John Alley,Gates,Mr.,Jim,Delgado,m,(08)-6179-3159,katherine65@example.com
2022-06-25,2,571.0,850,Ground out of 2,Canberra,Unfurnished,Bachelors/Family,2,Contact Owner,5/,5,Amy Path,Parkway,Mr.,Frederick,Roth,m,+61.456.914.477,lawrencemcmillan@example.com
2022-05-21,1,565.0,350,Ground out of 2,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,Suite 521 ,663,Laura River,Trailer,Mrs.,Rebecca,Mccarthy,f,+61.8.7223.8620,lorichristensen@example.net
2022-06-26,2,574.0,900,Ground out of 2,Canberra,Unfurnished,Bachelors/Family,2,Contact Owner,Suite 378 ,25,Carolyn Colonnade,Viaduct,Mrs.,Marie,Schroeder,f,+61218011295,sclayton@example.org
2022-06-16,2,563.0,550,1 out of 1,Canberra,Semi-Furnished,Bachelors/Family,1,Contact Owner,03/,8,Hannah Avenue,Sound,Dr.,Laura,Melton,f,+61 440 390 465,pjames@example.org
2022-05-10,3,583.0,1100,2 out of 3,Canberra,Unfurnished,Bachelors/Family,1,Contact Owner,09/,8,Garcia Driveway,Quadrant,Mrs.,Jessica,Greer,f,+61 3 9079 0828,michael54@example.net
2022-05-12,2,574.0,850,1 out of 2,Canberra,Semi-Furnished,Bachelors/Family,1,Contact Owner,45/,964,Brown Close,Boulevard,Miss,Katrina,Cortez,f,(02)86077146,gonzalezdean@example.org
2022-06-03,2,571.0,800,2 out of 2,Canberra,Unfurnished,Bachelors,1,Contact Agent,0/,456,Harris Formation,Square,Mr.,Curtis,Shea,m,6401-1379,victoria80@example.net
2022-05-31,2,564.0,630,Ground out of 3,Canberra,Unfurnished,Bachelors,1,Contact Owner,9/,159,Melissa Pass,Heights,Mr.,Charles,Lawson,m,9211 5582,robert16@example.net
2022-06-10,2,582.0,900,1 out of 2,Canberra,Semi-Furnished,Bachelors,2,Contact Owner,Unit 38 ,267,Gary Frontage,Towers,Miss,Gina,Williams,f,(07)21711040,simpsonparker@example.org
